TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
60;0.00;1.72;3.44;5.17;6.89;8.00;8.58;9.15;9.73;9.98;10.23;10.74;11.24;11.44;11.65;11.85;12.06;12.21;12.36;12.32;12.47;12.62;12.78;13.04;13.31;13.27;13.43;13.55;13.67;13.82;13.97;14.07;14.16;14.26;14.36;14.46;14.51;14.55;14.60;14.64;14.68;14.52;14.36;14.19;14.03;13.87;13.70;13.54;13.38;13.21;13.05;12.89;12.74;12.58;12.42;12.27;12.11;11.95;11.80;11.64;11.48;11.00;10.52;10.04;9.56;9.08;8.60;8.12;7.64;7.16;6.68
65;0.00;1.79;3.57;5.33;7.08;8.26;8.81;9.37;9.93;10.20;10.47;10.97;11.47;11.73;11.99;12.18;12.38;12.58;12.79;12.92;13.11;13.27;13.47;13.71;13.94;14.07;14.26;14.41;14.56;14.76;14.97;15.17;15.37;15.50;15.63;15.76;15.78;15.80;15.82;15.85;15.87;15.69;15.50;15.32;15.14;14.96;14.77;14.59;14.41;14.23;14.04;13.88;13.72;13.56;13.40;13.24;13.07;12.91;12.75;12.59;12.43;11.91;11.38;10.86;10.34;9.81;9.29;8.77;8.25;7.72;7.20
70;0.00;1.86;3.71;5.52;7.32;8.43;9.00;9.58;10.15;10.43;10.70;11.27;11.84;12.04;12.24;12.49;12.74;12.99;13.24;13.49;13.73;13.93;14.16;14.41;14.66;14.86;15.07;15.27;15.48;15.72;15.97;16.21;16.46;16.63;16.79;16.96;17.00;17.03;17.07;17.11;17.14;16.94;16.74;16.54;16.34;16.14;15.94;15.74;15.54;15.35;15.15;14.98;14.82;14.66;14.49;14.33;14.16;14.00;13.84;13.67;13.51;12.94;12.37;11.79;11.22;10.65;10.07;9.50;8.93;8.36;7.78
75;0.00;1.91;3.81;5.62;7.42;8.52;9.15;9.79;10.43;10.68;10.93;11.48;12.08;12.43;12.78;13.09;13.40;13.70;14.01;14.31;14.61;14.86;15.11;15.32;15.57;15.87;16.07;16.33;16.58;16.85;17.11;17.41;17.71;17.88;18.05;18.22;18.21;18.20;18.18;18.17;18.15;17.95;17.74;17.53;17.32;17.11;16.90;16.69;16.49;16.28;16.07;15.88;15.70;15.51;15.33;15.15;14.96;14.78;14.59;14.41;14.22;13.63;13.03;12.43;11.84;11.24;10.64;10.05;9.45;8.85;8.26
80;0.00;1.96;3.91;5.71;7.51;8.62;9.29;9.96;10.63;10.95;11.27;11.76;12.33;12.79;13.25;13.66;14.07;14.44;14.81;15.12;15.43;15.73;16.03;16.39;16.74;17.00;17.30;17.54;17.79;18.02;18.26;18.14;18.02;18.52;19.02;19.52;19.43;19.34;19.24;19.15;19.06;18.84;18.62;18.40;18.18;17.96;17.74;17.52;17.30;17.08;16.86;16.67;16.47;16.28;16.08;15.89;15.69;15.50;15.30;15.11;14.92;14.29;13.67;13.04;12.42;11.79;11.17;10.54;9.92;9.29;8.67
85;0.00;1.96;3.91;5.71;7.51;8.62;9.38;10.15;10.91;11.22;11.52;11.98;12.53;13.04;13.56;14.03;14.50;14.91;15.32;15.74;16.15;16.51;16.87;17.22;17.58;17.88;17.67;18.17;18.68;18.94;19.19;18.54;17.88;18.40;18.93;19.45;19.52;19.59;19.65;19.71;19.76;19.53;19.30;19.08;18.85;18.62;18.39;18.17;17.94;17.71;17.48;17.28;17.08;16.88;16.68;16.48;16.28;16.08;15.88;15.68;15.48;14.83;14.18;13.53;12.88;12.23;11.58;10.93;10.28;9.63;8.98
90;0.00;1.96;3.91;5.71;7.51;8.61;9.43;10.26;11.08;11.46;11.84;12.29;12.84;13.34;13.86;14.38;14.92;15.44;15.96;16.42;16.88;17.29;17.70;18.11;18.52;18.84;19.01;19.24;19.51;19.32;19.13;18.65;18.16;18.54;18.91;19.29;19.53;19.77;20.00;20.23;20.45;20.22;19.98;19.74;19.51;19.27;19.04;18.80;18.57;18.33;18.09;17.89;17.68;17.47;17.26;17.05;16.84;16.63;16.43;16.22;16.01;15.34;14.67;14.00;13.32;12.65;11.98;11.31;10.64;9.97;9.30
95;0.00;1.91;3.81;5.62;7.42;8.52;9.39;10.26;11.13;11.59;12.05;12.49;13.04;13.60;14.17;14.80;15.44;15.96;16.48;17.00;17.51;17.86;18.21;18.63;19.04;19.33;19.53;19.73;19.93;20.17;20.42;20.12;19.81;19.55;19.29;19.03;19.39;19.74;20.09;20.43;20.76;20.53;20.29;20.05;19.82;19.58;19.34;19.11;18.87;18.63;18.40;18.18;17.96;17.75;17.53;17.32;17.10;16.89;16.67;16.45;16.24;15.56;14.89;14.21;13.53;12.85;12.18;11.50;10.82;10.15;9.47
100;0.00;1.86;3.71;5.49;7.27;8.43;9.34;10.25;11.16;11.67;12.17;12.60;13.14;13.76;14.38;15.11;15.86;16.43;17.00;17.57;18.13;18.48;18.84;19.20;19.57;19.86;20.05;20.19;20.33;20.47;20.62;20.89;21.17;21.00;20.82;20.65;20.66;20.67;20.67;20.67;20.67;20.48;20.28;20.09;19.89;19.70;19.50;19.31;19.12;18.92;18.73;18.51;18.29;18.07;17.86;17.64;17.42;17.20;16.99;16.77;16.55;15.86;15.17;14.48;13.79;13.09;12.40;11.71;11.02;10.33;9.64
105;0.00;1.80;3.59;5.34;7.09;8.33;9.29;10.26;11.22;11.68;12.14;12.64;13.24;13.86;14.48;15.26;16.05;16.66;17.26;17.80;18.34;18.78;19.23;19.54;19.85;20.09;20.34;20.51;20.69;20.85;21.03;21.29;21.55;21.71;21.86;22.02;21.70;21.37;21.05;20.74;20.42;20.28;20.14;20.00;19.86;19.72;19.58;19.44;19.30;19.16;19.02;18.80;18.58;18.37;18.15;17.93;17.72;17.50;17.28;17.07;16.85;16.15;15.44;14.74;14.04;13.34;12.63;11.93;11.23;10.52;9.82
