Longitude,Latitude
-3.0024165584218663,47.43652868129738
-3.0090318393522386,47.43601494950835
-3.009046539608588,47.43601495040195
-3.0166908594741666,47.435690641532815
-3.0167091405258337,47.435690641532815
-3.024353460391412,47.43601495040195
-3.0243681606477617,47.43601494950835
-3.030983441578134,47.43652868129738
-3.030994954126384,47.43652867998905
-3.0352696523127243,47.43685298882909
-3.0418964865081044,47.436339258371504
-3.049555553688417,47.43601495040195
-3.0572179057079594,47.435690641532815
-3.064979226025091,47.436841941646655
-3.0727367724650425,47.437993242894535
-3.080465322129966,47.44029706766059
-3.0881896677038023,47.44260089330121
-3.0949885622344144,47.446284872185934
-3.101782812848991,47.4499688507621
-3.1065647750052334,47.45494528271923
-3.1113416636051565,47.459921712475044
-3.11362438168789,47.4656703599235
-3.115901683612299,47.471419003743776
-3.115449500927358,47.47734897228559
-3.1149917382387526,47.48327893689025
-3.113650623618707,47.48899232284413
-3.112304034826997,47.49470570529641
-3.10896881997832,47.49996141214752
-3.105628141287002,47.505217116505584
-3.101085933740312,47.50986810029869
-3.0965384518573105,47.51451908261778
-3.0819108743875736,47.519323460210515
-3.08190289263734,47.51932346365036
-3.0672739795271666,47.52412783789813
-3.048082068723012,47.515062206124206
-3.048078981675036,47.51506220711509
-3.0313467016385465,47.519323460210515
-3.0167098067781395,47.52412783789813
-3.016690193221861,47.52412783789813
-3.002053298361454,47.519323460210515
-2.985321018324964,47.51506220711509
-2.9661260204728337,47.52412783789813
-2.9514971073626604,47.51932346365036
-2.9514891256124267,47.519323460210515
-2.93686154814269,47.51451908261778
-2.9323140662596883,47.50986810029869
-2.9277718587129984,47.505217116505584
-2.9244311800216805,47.49996141214752
-2.9210959651730035,47.49470570529641
-2.919749376381293,47.48899232284413
-2.9184082617612477,47.48327893689025
-2.917950499072642,47.47734897228559
-2.9174983163877015,47.471419003743776
-2.9197756183121104,47.4656703599235
-2.922058336394844,47.459921712475044
-2.926835224994767,47.45494528271923
-2.9316171871510095,47.4499688507621
-2.938411437765586,47.446284872185934
-2.945210332296198,47.44260089330121
-2.9529346778700343,47.44029706766059
-2.960663227534958,47.437993242894535
-2.968420773974909,47.436841941646655
-2.976182094292041,47.435690641532815
-2.983841114413969,47.43601494950835
-2.983844446311583,47.43601495040195
-2.991503513491896,47.436339258371504
-2.998130347687276,47.43685298882909
-3.0024050458736165,47.43652867998905
-3.0024165584218663,47.43652868129738
